capa_id,opened_date,closed_date,due_date,status,site,department,process,owner,linked_deviation_ids,root_cause_category,action_type,action_description,effectiveness_check_due_date,effectiveness_status
CAPA-001,2025-12-22,,2026-03-30,open,Basel Site,QC Lab,QC Release Testing,Packaging Owner 01,DEV-029|DEV-203|DEV-166,human factors,Supplier follow-up,Synthetic supplier follow-up for qc release testing control improvement.,2026-06-25,planned
CAPA-002,2025-12-16,,2026-04-26,in_progress,Berlin Site,QC Lab,QC Release Testing,QA Owner 02,DEV-028|DEV-090|DEV-084,training gap,Procedure update,Synthetic procedure update for qc release testing control improvement.,2026-05-26,planned
CAPA-003,2026-01-14,,2026-04-25,open,Berlin Site,Production,Sterile Filling,Packaging Owner 01,DEV-189,procedure gap,Preventive action,Synthetic preventive action for sterile filling control improvement.,2026-06-25,planned
CAPA-004,2025-12-03,,2026-04-07,open,Berlin Site,Engineering,Equipment Maintenance,Packaging Owner 01,DEV-175,supplier process,Process correction,Synthetic process correction for equipment maintenance control improvement.,2026-06-01,planned
CAPA-005,2026-02-11,,2026-04-16,in_progress,Basel Site,QC Lab,QC Release Testing,QA Owner 02,DEV-182,supplier process,Procedure update,Synthetic procedure update for qc release testing control improvement.,2026-06-16,pending QA review
CAPA-006,2026-01-14,,2026-04-05,in_progress,Basel Site,Production,Sterile Filling,Packaging Owner 01,DEV-013,equipment condition,Supplier follow-up,Synthetic supplier follow-up for sterile filling control improvement.,2026-06-19,planned
CAPA-007,2026-01-25,,2026-04-12,in_progress,Basel Site,Production,Sterile Filling,QA Owner 02,DEV-155|DEV-189,equipment condition,Process correction,Synthetic process correction for sterile filling control improvement.,2026-06-22,planned
CAPA-008,2026-01-13,,2026-04-01,in_progress,Berlin Site,Engineering,Equipment Maintenance,QA Owner 02,DEV-195|DEV-212,procedure gap,Preventive action,Synthetic preventive action for equipment maintenance control improvement.,2026-05-11,not due
CAPA-009,2026-01-02,,2026-04-24,in_progress,Berlin Site,QC Lab,QC Release Testing,Packaging Owner 01,DEV-180|DEV-136,equipment condition,Preventive action,Synthetic preventive action for qc release testing control improvement.,2026-06-02,pending QA review
CAPA-010,2026-01-31,,2026-04-24,in_progress,Berlin Site,Production,Weighing,QA Owner 02,DEV-205|DEV-108,equipment condition,Process correction,Synthetic process correction for weighing control improvement.,2026-07-01,effective
CAPA-011,2025-12-28,,2026-04-12,open,Basel Site,QC Lab,QC Release Testing,QA Owner 02,DEV-186|DEV-095|DEV-098,procedure gap,Procedure update,Synthetic procedure update for qc release testing control improvement.,2026-06-09,planned
CAPA-012,2026-01-16,,2026-04-02,open,Berlin Site,Engineering,Equipment Maintenance,Packaging Owner 01,DEV-221,procedure gap,Supplier follow-up,Synthetic supplier follow-up for equipment maintenance control improvement.,2026-06-04,planned
CAPA-013,2025-12-17,,2026-04-11,in_progress,Berlin Site,Production,Granulation,QA Owner 02,DEV-188,training gap,Supplier follow-up,Synthetic supplier follow-up for granulation control improvement.,2026-06-12,effective
CAPA-014,2025-12-30,,2026-04-04,in_progress,Berlin Site,Packaging,Packaging,Packaging Owner 01,DEV-019|DEV-020|DEV-021|DEV-029|DEV-030|DEV-031,line clearance,Retraining only,Synthetic retraining-only action for packaging personnel on applicable SOPs.,2026-06-25,vague - monitor for recurrence
CAPA-015,2025-12-05,,2026-04-01,open,Berlin Site,Production,Sterile Filling,QA Owner 01,DEV-123|DEV-072|DEV-041,supplier process,Procedure update,Synthetic procedure update for sterile filling control improvement.,2026-05-15,planned
CAPA-016,2025-08-15,,2025-10-25,in_progress,Berlin Site,Packaging,Packaging,Packaging Owner 01,DEV-120|DEV-015|DEV-183,supplier process,Retraining only,Synthetic retraining-only action for packaging personnel on applicable SOPs.,2026-01-08,planned
CAPA-017,2026-03-02,,2026-04-27,open,Berlin Site,QC Lab,QC Release Testing,QA Owner 02,DEV-042,supplier process,Retraining only,Synthetic retraining-only action for qc release testing personnel on applicable SOPs.,2026-07-10,planned
CAPA-018,2025-11-22,2026-03-03,2026-01-11,closed,Basel Site,Packaging,Packaging,QA Owner 01,DEV-235|DEV-247,training gap,Retraining only,Synthetic retraining-only action for packaging personnel on applicable SOPs.,2026-03-15,planned
CAPA-019,2026-03-26,2026-05-11,2026-06-21,closed,Berlin Site,Production,Cleaning,QA Owner 01,DEV-182|DEV-012,procedure gap,Retraining only,Synthetic retraining-only action for cleaning personnel on applicable SOPs.,2026-09-01,effective
CAPA-020,2026-01-01,,2026-03-08,open,Berlin Site,Production,Cleaning,Packaging Owner 01,DEV-126,equipment condition,Retraining only,Synthetic retraining-only action for cleaning personnel on applicable SOPs.,2026-04-18,planned
CAPA-021,2025-11-08,,2025-12-23,in_progress,Berlin Site,Production,Granulation,QA Owner 01,DEV-056|DEV-163,supplier process,Retraining only,Synthetic retraining-only action for granulation personnel on applicable SOPs.,2026-02-01,planned
CAPA-022,2026-02-09,,2026-04-02,open,Berlin Site,Production,Cleaning,QA Owner 02,DEV-117,training gap,Retraining only,Synthetic retraining-only action for cleaning personnel on applicable SOPs.,2026-06-11,pending QA review
CAPA-023,2025-12-28,,2026-03-25,open,Berlin Site,QC Lab,QC Release Testing,Engineering Owner 01,DEV-159,training gap,Retraining only,Synthetic retraining-only action for qc release testing personnel on applicable SOPs.,2026-05-24,effective
CAPA-024,2026-02-25,,2026-06-08,in_progress,Basel Site,Packaging,Packaging,QA Owner 02,DEV-204,training gap,Retraining only,Synthetic retraining-only action for packaging personnel on applicable SOPs.,2026-08-07,planned
CAPA-025,2025-12-07,2026-03-08,2026-03-22,closed,Berlin Site,Production,Granulation,Production Owner 01,DEV-129,procedure gap,Retraining only,Synthetic retraining-only action for granulation personnel on applicable SOPs.,2026-06-12,effective
CAPA-026,2026-03-23,,2026-06-22,in_progress,Berlin Site,Production,Sterile Filling,Packaging Owner 01,DEV-164|DEV-026,human factors,Retraining only,Synthetic retraining-only action for sterile filling personnel on applicable SOPs.,2026-08-09,not due
CAPA-027,2025-08-25,2025-10-24,2025-11-26,closed,Basel Site,Production,Sterile Filling,QA Owner 01,DEV-061|DEV-222,procedure gap,Retraining only,Synthetic retraining-only action for sterile filling personnel on applicable SOPs.,2026-02-23,not due
CAPA-028,2026-04-01,,2026-07-06,in_progress,Berlin Site,Packaging,Packaging,Supplier Quality Owner 01,DEV-172|DEV-163,procedure gap,Retraining only,Synthetic retraining-only action for packaging personnel on applicable SOPs.,2026-09-01,pending QA review
