sop_id,title,department,process,version,effective_date,revision_date,status
SOP-001,Synthetic Weighing SOP 001,Production,Weighing,1.1,2026-04-09,2027-04-09,effective
SOP-002,Synthetic Granulation SOP 002,Production,Granulation,1.2,2026-04-01,2027-04-01,effective
SOP-003,Synthetic Sterile Filling SOP 003,Production,Sterile Filling,1.3,2026-03-30,2027-03-30,effective
SOP-004,Synthetic Packaging SOP 004,Packaging,Packaging,1.4,2026-03-21,2027-03-21,effective
SOP-005,Synthetic QC Release Testing SOP 005,QC Lab,QC Release Testing,1.5,2026-03-22,2027-03-22,effective
SOP-006,Synthetic Cleaning SOP 006,Production,Cleaning,1.6,2026-04-05,2027-04-05,effective
SOP-007,Synthetic Equipment Maintenance SOP 007,Engineering,Equipment Maintenance,1.7,2026-04-21,2027-04-21,effective
SOP-008,Synthetic Supplier Qualification SOP 008,QA Operations,Supplier Qualification,1.8,2026-04-12,2027-04-12,effective
SOP-009,Synthetic Weighing SOP 009,Production,Weighing,1.9,2026-03-28,2027-03-28,effective
SOP-010,Synthetic Granulation SOP 010,Production,Granulation,1.0,2026-04-08,2027-04-08,effective
SOP-011,Synthetic Sterile Filling SOP 011,Production,Sterile Filling,1.1,2026-04-10,2027-04-10,effective
SOP-012,Synthetic Packaging SOP 012,Packaging,Packaging,1.2,2026-04-11,2027-04-11,effective
SOP-013,Synthetic QC Release Testing SOP 013,QC Lab,QC Release Testing,1.3,2026-03-30,2027-03-30,effective
SOP-014,Synthetic Cleaning SOP 014,Production,Cleaning,1.4,2026-04-05,2027-04-05,effective
SOP-015,Synthetic Equipment Maintenance SOP 015,Engineering,Equipment Maintenance,1.5,2026-04-04,2027-04-04,effective
SOP-016,Synthetic Supplier Qualification SOP 016,QA Operations,Supplier Qualification,1.6,2026-04-19,2027-04-19,effective
SOP-017,Synthetic Weighing SOP 017,Production,Weighing,1.7,2026-03-22,2027-03-22,effective
SOP-018,Synthetic Granulation SOP 018,Production,Granulation,1.8,2026-03-19,2027-03-19,effective
SOP-019,Synthetic Sterile Filling SOP 019,Production,Sterile Filling,1.9,2026-04-28,2027-04-28,effective
SOP-020,Synthetic Packaging SOP 020,Packaging,Packaging,1.0,2026-04-26,2027-04-26,effective
SOP-021,Synthetic QC Release Testing SOP 021,QC Lab,QC Release Testing,1.1,2024-11-01,2025-11-01,effective
