change_id,opened_date,target_implementation_date,closed_date,status,site,department,process,affected_sop_ids,affected_equipment_ids,affected_system_ids,validation_impact,training_impact,owner,description
CC-001,2025-07-26,2025-09-12,,QA review,Basel Site,Packaging,Packaging,SOP-053|SOP-071,EQ-006,CSV-005,True,True,QA Owner 01,Synthetic change control for packaging process update.
CC-002,2025-07-29,2025-09-07,,implementation,Berlin Site,Packaging,Packaging,SOP-015|SOP-078,,CSV-002,True,True,QA Owner 01,Synthetic change control for packaging process update.
CC-003,2026-01-21,2026-04-23,,assessment,Basel Site,Production,Granulation,SOP-026|SOP-030,EQ-016|EQ-018,CSV-008,True,True,QA Owner 02,Synthetic change control for granulation process update.
CC-004,2025-10-28,2026-01-01,,QA review,Basel Site,Packaging,Packaging,SOP-080|SOP-075,EQ-011,CSV-004,True,True,QA Owner 01,Synthetic change control for packaging process update.
CC-005,2025-10-11,2025-12-07,,QA review,Basel Site,Production,Weighing,SOP-076|SOP-096|SOP-028,EQ-014,CSV-001,True,True,QA Owner 02,Synthetic change control for weighing process update.
CC-006,2026-04-19,2026-06-29,,implementation,Basel Site,Packaging,Packaging,SOP-003|SOP-052,EQ-004|EQ-002,CSV-003,True,True,QA Owner 02,Synthetic change control for packaging process update.
CC-007,2026-04-13,2026-05-19,,assessment,Berlin Site,QC Lab,QC Release Testing,SOP-075|SOP-018,EQ-016,CSV-010,True,True,QA Owner 01,Synthetic change control for qc release testing process update.
CC-008,2025-11-11,2026-02-26,,open,Berlin Site,Production,Cleaning,SOP-006,EQ-010|EQ-013,CSV-012,True,True,Packaging Owner 01,Synthetic change control for cleaning process update.
CC-009,2025-08-24,2026-01-05,,open,Berlin Site,Production,Sterile Filling,SOP-037,EQ-001|EQ-012,CSV-005,True,True,Packaging Owner 01,Synthetic change control for sterile filling process update.
CC-010,2026-02-26,2026-07-03,,open,Berlin Site,Production,Granulation,SOP-005|SOP-019,,CSV-009,True,True,Packaging Owner 01,Synthetic change control for granulation process update.
CC-011,2025-10-26,2025-12-17,,open,Basel Site,Production,Cleaning,SOP-021,EQ-012|EQ-008,CSV-007,True,True,QA Owner 01,Synthetic change control for cleaning process update.
CC-012,2025-08-20,2026-01-06,,assessment,Basel Site,QA Operations,Supplier Qualification,SOP-051,,CSV-006,True,True,QA Owner 02,Synthetic change control for supplier qualification process update.
CC-013,2026-01-03,2026-02-02,,implementation,Berlin Site,Engineering,Equipment Maintenance,SOP-006,,CSV-007,True,True,QA Owner 02,Synthetic change control for equipment maintenance process update.
CC-014,2026-02-23,2026-04-06,,QA review,Berlin Site,Packaging,Packaging,SOP-017,EQ-003|EQ-019,CSV-010,True,True,Packaging Owner 01,Synthetic change control for packaging process update.
CC-015,2025-12-06,2026-02-24,,implementation,Basel Site,Production,Weighing,SOP-044|SOP-079|SOP-007,EQ-020,CSV-010,True,True,QA Owner 01,Synthetic change control for weighing process update.
CC-016,2025-12-30,2026-04-29,,implementation,Berlin Site,Engineering,Equipment Maintenance,SOP-079|SOP-095,EQ-012|EQ-002,CSV-011,True,True,QA Owner 02,Synthetic change control for equipment maintenance process update.
CC-017,2025-12-08,2026-01-31,,open,Berlin Site,QA Operations,Supplier Qualification,SOP-043|SOP-082,EQ-006|EQ-004,CSV-010,True,True,QA Owner 02,Synthetic change control for supplier qualification process update.
CC-018,2025-08-07,2025-09-15,,implementation,Berlin Site,QA Operations,Supplier Qualification,SOP-097,,CSV-009,True,True,QA Owner 01,Synthetic change control for supplier qualification process update.
CC-019,2026-03-31,2026-07-08,,QA review,Berlin Site,QC Lab,QC Release Testing,SOP-064,EQ-018|EQ-001,CSV-003,True,True,QA Owner 02,Synthetic change control for qc release testing process update.
CC-020,2025-11-25,2026-01-15,,QA review,Berlin Site,Production,Sterile Filling,SOP-024|SOP-095,,CSV-001,True,True,QA Owner 02,Synthetic change control for sterile filling process update.
CC-021,2025-10-01,2025-11-30,,assessment,Basel Site,Engineering,Equipment Maintenance,SOP-010|SOP-078,EQ-002,CSV-009,True,True,QA Owner 02,Synthetic change control for equipment maintenance process update.
CC-022,2026-04-08,2026-06-03,,open,Basel Site,Production,Cleaning,SOP-076,EQ-010,CSV-011,True,True,Packaging Owner 01,Synthetic change control for cleaning process update.
CC-023,2026-02-22,2026-04-07,,assessment,Berlin Site,Production,Sterile Filling,SOP-096|SOP-036|SOP-043,,CSV-007,True,True,QA Owner 01,Synthetic change control for sterile filling process update.
CC-024,2026-02-17,2026-04-24,,assessment,Berlin Site,Production,Granulation,SOP-070,EQ-013|EQ-015,CSV-003,True,True,QA Owner 02,Synthetic change control for granulation process update.
CC-025,2026-03-01,2026-06-14,,assessment,Berlin Site,Engineering,Equipment Maintenance,SOP-040,EQ-003,CSV-007,True,True,QA Owner 02,Synthetic change control for equipment maintenance process update.
CC-026,2026-02-08,2026-05-31,,implementation,Berlin Site,Production,Granulation,SOP-025|SOP-075|SOP-096,EQ-009|EQ-014,CSV-002,True,True,QA Owner 01,Synthetic change control for granulation process update.
CC-027,2026-01-19,2026-02-20,,QA review,Basel Site,Packaging,Packaging,SOP-023,EQ-014|EQ-004,CSV-004,True,True,QA Owner 02,Synthetic change control for packaging process update.
CC-028,2026-03-07,2026-04-28,,QA review,Berlin Site,QC Lab,QC Release Testing,SOP-015|SOP-001,,CSV-001,True,True,QA Owner 02,Synthetic change control for qc release testing process update.
CC-029,2026-01-24,2026-03-13,,implementation,Berlin Site,Production,Sterile Filling,SOP-088|SOP-035|SOP-038,,CSV-003,True,True,QA Owner 02,Synthetic change control for sterile filling process update.
