finding_id,audit_date,finding_type,severity,site,department,process,linked_capa_id,description,status
FIND-001,2025-06-15,supplier audit,minor,Basel Site,QA Operations,Supplier Qualification,CAPA-001,Synthetic audit finding for supplier qualification control follow-up.,in_progress
FIND-002,2025-09-16,supplier audit,critical,Basel Site,Production,Sterile Filling,CAPA-002,Synthetic audit finding for sterile filling control follow-up.,open
FIND-003,2025-10-16,self inspection,critical,Basel Site,QA Operations,Supplier Qualification,CAPA-003,Synthetic audit finding for supplier qualification control follow-up.,closed
FIND-004,2025-08-08,supplier audit,minor,Basel Site,Production,Sterile Filling,CAPA-004,Synthetic audit finding for sterile filling control follow-up.,in_progress
FIND-005,2025-07-29,mock inspection,major,Berlin Site,QC Lab,QC Release Testing,CAPA-005,Synthetic audit finding for qc release testing control follow-up.,closed
FIND-006,2025-07-01,internal audit,minor,Basel Site,Production,Granulation,CAPA-006,Synthetic audit finding for granulation control follow-up.,in_progress
FIND-007,2026-01-06,self inspection,minor,Berlin Site,Production,Cleaning,CAPA-007,Synthetic audit finding for cleaning control follow-up.,in_progress
FIND-008,2026-04-01,self inspection,minor,Basel Site,Production,Weighing,CAPA-008,Synthetic audit finding for weighing control follow-up.,open
FIND-009,2026-03-26,supplier audit,minor,Basel Site,Production,Weighing,CAPA-009,Synthetic audit finding for weighing control follow-up.,in_progress
FIND-010,2025-06-02,internal audit,minor,Berlin Site,QA Operations,Supplier Qualification,CAPA-010,Synthetic audit finding for supplier qualification control follow-up.,open
FIND-011,2025-07-09,supplier audit,minor,Berlin Site,Production,Weighing,CAPA-011,Synthetic audit finding for weighing control follow-up.,open
FIND-012,2025-08-04,internal audit,minor,Berlin Site,Packaging,Packaging,CAPA-012,Synthetic audit finding for packaging control follow-up.,in_progress
FIND-013,2025-06-21,supplier audit,minor,Berlin Site,Production,Weighing,CAPA-013,Synthetic audit finding for weighing control follow-up.,in_progress
FIND-014,2025-08-07,supplier audit,minor,Berlin Site,Packaging,Packaging,CAPA-014,Synthetic audit finding for equipment maintenance control follow-up.,in_progress
FIND-015,2025-07-17,internal audit,minor,Basel Site,Production,Sterile Filling,CAPA-015,Synthetic audit finding for sterile filling control follow-up.,open
FIND-016,2025-12-10,internal audit,minor,Berlin Site,Production,Cleaning,CAPA-016,Synthetic audit finding for cleaning control follow-up.,closed
FIND-017,2026-02-06,supplier audit,major,Berlin Site,Production,Sterile Filling,CAPA-017,Synthetic audit finding for sterile filling control follow-up.,open
FIND-018,2025-05-24,internal audit,minor,Basel Site,Production,Sterile Filling,CAPA-018,Synthetic audit finding for sterile filling control follow-up.,closed
FIND-019,2025-10-23,mock inspection,minor,Berlin Site,Production,Granulation,CAPA-019,Synthetic audit finding for granulation control follow-up.,open
FIND-020,2025-09-23,mock inspection,minor,Berlin Site,QC Lab,QC Release Testing,CAPA-020,Synthetic audit finding for qc release testing control follow-up.,closed
FIND-021,2025-05-09,mock inspection,critical,Basel Site,QC Lab,QC Release Testing,CAPA-021,Synthetic audit finding for qc release testing control follow-up.,open
FIND-022,2025-08-05,supplier audit,minor,Berlin Site,QA Operations,Supplier Qualification,CAPA-022,Synthetic audit finding for supplier qualification control follow-up.,closed
FIND-023,2026-04-05,supplier audit,major,Berlin Site,Production,Granulation,CAPA-023,Synthetic audit finding for granulation control follow-up.,in_progress
FIND-024,2025-09-11,internal audit,minor,Basel Site,QA Operations,Supplier Qualification,CAPA-024,Synthetic audit finding for supplier qualification control follow-up.,in_progress
FIND-025,2025-07-04,mock inspection,critical,Berlin Site,Production,Granulation,CAPA-025,Synthetic audit finding for granulation control follow-up.,in_progress
FIND-026,2025-12-21,supplier audit,minor,Berlin Site,QC Lab,QC Release Testing,,Synthetic audit finding for qc release testing control follow-up.,in_progress
FIND-027,2025-11-21,internal audit,major,Berlin Site,QA Operations,Supplier Qualification,,Synthetic audit finding for supplier qualification control follow-up.,open
FIND-028,2025-10-01,supplier audit,minor,Berlin Site,Engineering,Equipment Maintenance,,Synthetic audit finding for equipment maintenance control follow-up.,in_progress
FIND-029,2025-06-14,internal audit,minor,Basel Site,QC Lab,QC Release Testing,,Synthetic audit finding for qc release testing control follow-up.,closed
FIND-030,2025-09-26,internal audit,minor,Berlin Site,Engineering,Equipment Maintenance,,Synthetic audit finding for equipment maintenance control follow-up.,in_progress
FIND-031,2025-08-05,supplier audit,major,Berlin Site,Production,Cleaning,,Synthetic audit finding for cleaning control follow-up.,in_progress
FIND-032,2025-09-24,supplier audit,minor,Berlin Site,Packaging,Packaging,,Synthetic audit finding for packaging control follow-up.,open
FIND-033,2025-08-16,supplier audit,minor,Berlin Site,Production,Sterile Filling,,Synthetic audit finding for sterile filling control follow-up.,in_progress
FIND-034,2025-11-13,mock inspection,minor,Berlin Site,Production,Sterile Filling,,Synthetic audit finding for sterile filling control follow-up.,open
FIND-035,2025-07-14,self inspection,minor,Basel Site,Packaging,Packaging,,Synthetic audit finding for packaging control follow-up.,closed
FIND-036,2025-06-20,mock inspection,major,Berlin Site,Production,Sterile Filling,,Synthetic audit finding for sterile filling control follow-up.,open
FIND-037,2026-02-13,internal audit,major,Berlin Site,Packaging,Packaging,,Synthetic audit finding for packaging control follow-up.,open
FIND-038,2025-06-05,supplier audit,minor,Basel Site,QC Lab,QC Release Testing,,Synthetic audit finding for qc release testing control follow-up.,open
FIND-039,2025-06-10,mock inspection,minor,Berlin Site,Production,Granulation,,Synthetic audit finding for granulation control follow-up.,in_progress
FIND-040,2025-08-01,self inspection,minor,Berlin Site,QA Operations,Supplier Qualification,,Synthetic audit finding for supplier qualification control follow-up.,open
